AccountCode,Name
neupane tower,
A00000000000000,#10
700000000000000,#7
800000000000000,#8
900000000000000,#9
L0303020201,(Do Not Use) NABIL TR LOAN - NPR
L0303020206,(Do Not Use) NABIL TR LOAN - USD
L0303020205,(Do Not Use) NSBI TR LOAN - NPR
L0303020203,(Do Not Use) PRABHU TR LOAN - NPR
L0303020204,(Do Not Use) SANIMA TR LOAN - NPR
L030401010211,(Do not Use) 11124 TDS PAYABLE
L030401010206,(Do not Use) TDS PAYABLE
L030401010201,11111 Individual Or A Proprietorship Firm
L030401010202,11112 INCOME TAX (Salary)
L030401010213,11122 Public Limited
L030401010205,11123 TDS On Freight  Regestered  On Vat
L030401010204,11123 TDS On Service  Not Regestered  On Vat
L030401010203,11123 TDS On Service Regestered  On Vat
L030401010214,11124 Other Entities
L030401010215,11125 Capital Gain Tax Entity
L030401010207,11131 TDS On Rent
L030401010208,11132 TDS On Interest
L030401010209,11133 TDS On Dividend Or Bonus
L030401010210,11139 Other Income Tax
L030401010212,11211 SST PAYABLE
L0304010201,33317 VAT Payable
L0101020101,ADARSH AGRAWAL
L0101010101,ADARSHA AGRAWAL
A0205021001,ADVANCE INCOME TAX
A0205020601,ADVANCE LEASE RENT
L0101010122,AKARTI AGRAWAL
L0101010102,AMBIKA PD. PAUDEL
L0101010103,ANAND NEPAL
L0101010104,ANANT PANDEY
L0101010105,ANJAN BHANDARI
L0101010163,ANKIT JALAN
L0101010106,ANKUR BANGAR AGRAWAL
L0101010107,ANKUR NEUPANE
L0101020115,ANKUR NEUPANE
L0101010157,ARCHANA KUMARI GUPTA
100000000000000,ASSETS
L0101020114,ATUL NEUPANE
L0101010108,ATUL NEUPANE
A2020106,AUXILIARY RAW MATERIALS
A0203,Account Receivable
L020201,Accumulated Depcreciation
L02020101,Accumulated Depcreciation
L0202010101,Accumulated Depcreciation
A0205021302,Admin Advance
E0201,Administrative Expenses
E020100,Administrative Expenses
E02010000,Administrative Expenses
A02050206,Advance Lease Rent
A02050204,Advance for Investment
A0205020401,Advance for Investment
L010102,Advance for Share
L01010201,Advance for Share
A0205020902,Advance to Custom Runner
A02050208,Advance to Sister Concern
A0205020801,Advance to Sister Concern
A02050209,Advance to Supplier
A0205020901,Advance to Supplier
A0205020903,Advance to contractor (material issued)
A020502,Advances
A02050207,Advances Against Expenses A/C
A0205020701,Advances Against Expenses A/C
L03010303,Advertisement Agency Payable
E020301,Advertisement Expenses
E02020103,Agency fee
