CardCode,CardName
V1062,( Do Not Use ) Siddhi Ganesh & Pathivara Suppliers
V1044,( Do not Use ) Balaji and Aradhya Traders
V1081,(DO not use )Steel Wood
V1036,(Do not  use) Ramniwash Traders Suppliers
C00528,(Do not Use ) Rayamajhi Hardware
V0536,(Do not Use) Quality International
V0420,(Do not use) I.P. Roadlines Pvt. Ltd.
V0781,(do not use) Hi-Tech Automation
V1477,*
C01002,A & B Traders
C01155,A B S Traders
C00117,A Plus Design & Construction Pvt. Ltd.
V1482,A to Z Emporium
C00851,A. B. C. Construction & Builders
C01504,A. M. D. Engineering And Construction Pvt. Ltd.
C01065,A.B.S.Eleven Trading Company Pvt.Ltd
C00782,A.C.G. Business Network Pvt. Ltd.
C01609,A.D. Builders Company Pvt. Ltd.
V0198,A.G. Traders And Suppliers
C00179,A.K. Hardware Pvt. Ltd.
V1364,A.K. SERVICE AND SUPPLIERS
C00548,A.K. Traders & Hardware
C00494,A.M. Enterprises Pvt. Ltd.
C00180,A.M. Hardware
C01554,A.P.M Construction and Builders Pvt. Ltd.
C01668,A.R.T. Construction
V1064,A.S.P. Natural Resources Pvt. Ltd.
V1502,A.Sagar & Associates
V1399,AD Mission International (P) Ltd.
V1292,ADVANCE HYDRAU TECH PVT.LTD
V1297,AGRO TRADING HOUSE
V1408,AIESEC NEPAL
V1239,AMARNATH SUPPLIERS
V1422,AMBAR GAS UDHYOG
V0980,AMEI ENTERPRISES
V0990,ANANT REFRACTORY PRODUCTS PVT LTD
V1099,ANS Creation Pvt. Ltd
V1460,ANSHU MOBILE
V1386,AS Auto Enterprises
C00992,Aaahana Construction
C00510,Aabhya Hardware
C00779,Aadarsh Hardware & Suppliers
V0602,Aadarsh Offset Press
C00656,Aaditya Hardware
V1104,Aadya Impex Pvt.Ltd.
V0633,Aajad Arts Flex
V0601,Aajad Offset Press
V1059,Aakanchhya Enterprises
C01209,Aakankchya Merchant company pvt ltd
C00181,Aakriti Hardware & General Stores
V0325,Aalam Motor Parts
C00171,Aale Enterprises
C00645,Aalim Hardware
